service,execution,iterations,data_received,data_sent
graphql,1,5926,91951073,6560082
graphql,2,5948,92315857,6584436
graphql,3,5929,92013801,6563403
graphql,4,5956,92437474,6593292
graphql,5,5964,92559995,6602148
graphql,6,5940,92192732,6575580
graphql,7,5940,92188328,6575580
graphql,8,5933,92075790,6567831
graphql,9,5907,91650952,6539049
rest,1,17437,260799452,11002747
rest,2,17607,263397415,11110017
rest,3,17393,260200581,10974983
rest,4,17423,260641390,10993913
rest,5,17241,257923823,10879071
rest,6,17318,259072220,10927658
rest,7,17414,260510557,10988234
rest,8,17365,259778994,10957315
rest,9,17426,260687137,10995806
